Date,DE40Cash_profit,DE40Cash_lot,Date,Price,Open,High,Low,Vol.,Change %,DE40Cash_China_profit,DE40Cash_China_lot,DE40Cash_World_profit,DE40Cash_World_lot
05/07/2024,-794.52,90.44,7/5/2024,18475.45,18450.59,18650.36,18420.57,45.50M,0.14%,-2420.05,34.18,70.20,0.29
08/07/2024,6112.03,94.22,7/8/2024,18472.05,18474.27,18631.61,18444.06,45.31M,-0.02%,765.91,23.12,68.87,0.42
09/07/2024,19964.71,115.44,7/9/2024,18236.19,18471.35,18473.00,18213.98,56.40M,-1.28%,-399.45,13.32,-22.76,2.49
10/07/2024,-9824.82,49.60,7/10/2024,18407.22,18236.75,18420.13,18236.75,49.28M,0.94%,164.92,6.81,-1.60,1.07
11/07/2024,4316.38,72.94,7/11/2024,18534.56,18409.70,18578.45,18409.65,50.93M,0.69%,998.45,8.32,23.16,1.17
12/07/2024,-4167.61,45.33,7/12/2024,18748.18,18534.49,18779.40,18528.39,49.83M,1.15%,-3015.38,30.75,54.09,0.42
15/07/2024,-2477.87,62.94,7/15/2024,18590.89,18736.11,18743.68,18581.02,42.77M,-0.84%,-2402.76,12.58,9.68,0.19
16/07/2024,-8182.86,68.69,7/16/2024,18518.03,18586.42,18586.42,18448.27,45.19M,-0.39%,-2751.02,30.04,11.45,0.18
17/07/2024,5677.29,58.93,7/17/2024,18437.30,18512.11,18532.66,18347.24,49.01M,-0.44%,2361.15,18.22,50.73,0.27
18/07/2024,12203.60,65.36,7/18/2024,18354.76,18439.33,18536.26,18352.33,52.14M,-0.45%,1374.27,29.50,-11167.95,0.57
19/07/2024,-12399.96,60.97,7/19/2024,18171.93,18340.85,18341.82,18162.30,58.26M,-1.00%,967.18,12.03,339.45,0.14
22/07/2024,-9856.22,57.16,7/22/2024,18407.07,18270.85,18468.60,18231.41,46.82M,1.29%,-1025.69,23.24,91.42,0.58
23/07/2024,-1383.66,47.02,7/23/2024,18557.70,18500.67,18647.10,18464.22,48.61M,0.82%,799.40,34.39,21.76,0.99
24/07/2024,-10465.24,45.87,7/24/2024,18387.46,18394.30,18456.39,18348.99,71.71M,-0.92%,1235.49,9.22,60.91,1.66
25/07/2024,-7101.60,72.56,7/25/2024,18298.72,18209.40,18326.18,18096.69,70.73M,-0.48%,5503.32,47.93,229.37,5.24
26/07/2024,-4510.73,40.42,7/26/2024,18417.55,18255.35,18428.88,18218.54,46.95M,0.65%,218.68,3.10,16.72,0.07
29/07/2024,460.51,39.67,7/29/2024,18320.67,18542.43,18546.32,18309.27,42.85M,-0.53%,-1652.08,17.98,14.63,0.04
30/07/2024,-1024.01,47.72,7/30/2024,18411.18,18363.93,18469.08,18341.42,43.05M,0.49%,-2666.77,27.43,4.40,0.05
